maxbeta,Electricity,ETTh1,Weather
0.01,0.334,0.27,0.323
0.02,0.329,0.275,0.318
0.03,0.332,0.273,0.322
0.05,0.33,0.272,0.323
0.1,0.334,0.263,0.331
