maxbeta,Electricity,ETTh1,Weather
0.01,0.32,0.54,0.538
0.02,0.308,0.529,0.493
0.03,0.315,0.525,0.495
0.05,0.306,0.538,0.493
0.1,0.31,0.551,0.492
