1.544273365764541772e+00,1.620710588516073081e+00,1.636685936394682572e-01,1.365878308548572340e-01,1.380604772254308887e+00,1.484122753143310547e+00
1.671857608601133860e+00,2.327557809809420952e+00,1.274159272657112985e-01,1.219041386341794958e-01,1.544441681117453502e+00,2.205653667449951172e+00
9.384227567055123398e-01,9.853977085428035076e-01,1.151780634325869496e-01,1.255278149817852240e-01,8.232446935899714324e-01,8.598698973655700684e-01
5.598154043025792559e-01,5.829519090500283607e-01,1.100945896617671893e-01,1.254162564081080511e-01,4.497208149033657953e-01,4.575356543064117432e-01
3.304874712720196062e-01,3.696418781863882175e-01,1.073971718371389966e-01,1.195481787336633572e-01,2.230902992565422516e-01,2.500936985015869141e-01
2.184958750619850343e-01,2.503612402905809331e-01,1.056021628950900848e-01,1.266108965303035516e-01,1.128937117260028766e-01,1.237503439188003540e-01
1.607601879303284242e-01,1.651193594678919407e-01,1.049530934988263386e-01,1.076527008033813376e-01,5.580709435224057852e-02,5.746665969491004944e-02
1.335949927043328378e-01,1.456723041198355051e-01,1.049152229754056059e-01,1.173410675627119953e-01,2.867976963851957481e-02,2.833123691380023956e-02
1.206934041829106075e-01,1.314673717827238852e-01,1.050798153019252557e-01,1.152140416918282784e-01,1.561358893671608086e-02,1.625332981348037720e-02
1.111665793417140474e-01,1.220696933091954955e-01,1.034712084331252530e-01,1.135850461952863794e-01,7.695370823444620638e-03,8.484648540616035461e-03
1.083236186309380761e-01,1.212692733933316835e-01,1.050164758455642416e-01,1.180466736092212338e-01,3.307142794352678581e-03,3.222599625587463379e-03
1.066636446556274570e-01,1.164699820999769431e-01,1.050397738953061516e-01,1.146265048771462486e-01,1.623871052675469277e-03,1.843475620262324810e-03
1.047726188627804839e-01,1.121018662890221201e-01,1.039124334458895876e-01,1.111096872928294677e-01,8.601853946760108045e-04,9.921824093908071518e-04
1.048119910546836120e-01,1.185543014806635792e-01,1.044733772955914186e-01,1.183136477273829396e-01,3.386137973103223978e-04,2.406503626843914390e-04
1.050522903406477387e-01,1.181509834813310733e-01,1.049025098030316738e-01,1.180159491585924258e-01,1.497804845170553755e-04,1.350358652416616678e-04
1.043210408224308078e-01,1.240494106202683494e-01,1.042549185048630284e-01,1.239900443940720604e-01,6.612227415876367233e-05,5.936816523899324238e-05
